episode,reward
1,-8.266221881891958
2,-8.273607277415742
3,-6.710646509206107
4,-5.305273190153763
5,7.075251795224887
6,-8.69681902092195
7,17.01415624891905
8,-31.79940845257849
9,-32.913015695041636
10,-32.051782361840935
11,-31.854027697100733
12,-29.440884659139673
13,-25.833153070991834
14,-24.096733896699664
15,-18.61932649953564
16,-16.018766622112796
17,-15.17898338632947
18,-8.028704548438652
19,-7.669503578680452
20,-12.082065348467285
21,-7.8187841116487
22,-6.556652790987357
23,-7.712377509738996
24,-9.22176002419532
25,-5.589758950354678
26,-6.005938842294626
27,-4.865948950062563
28,-5.191909387388332
29,-6.053792491373258
30,-5.59206709736527
31,-5.358602820082773
32,-5.067518917155301
33,-5.905583457445173
34,-1.6213894123811627
35,-1.1817418882834847
36,-5.85858609022079
37,-5.746793475103868
38,-2.045942485964673
39,-6.4621019000806506
40,-5.695462919039073
41,-5.997947298719614
42,-8.12166959606698
43,-8.773934636358076
44,-13.669773213115063
45,-16.318848340437512
46,-14.403313536908598
47,-8.501251258107697
48,-4.442377670409856
49,-4.499486112328876
50,-8.001590680077483
51,-19.067990141774352
52,-21.279139789248426
53,-22.796817215373846
54,-19.023107260523698
55,-16.461949728181796
56,-35.63630886938868
57,-27.693397978668347
58,-25.86219582108661
59,-17.31956575828678
60,-14.564449838977971
61,-14.118509828709803
62,-17.579278527445506
63,-21.236027152162837
64,-18.9532253142399
65,-19.24264986553014
66,-13.13879408502532
67,-12.01282500589948
68,-12.364902756818921
69,-9.631343138090154
70,-12.590856841265524
71,-12.712613228786182
72,-12.027506175011219
73,-13.907254394734908
74,-10.301668856060541
75,-11.774105542349165
76,-17.29156511664005
77,-9.845465555745786
78,-9.395503958885733
79,-14.392037338404926
80,-14.716465754465236
81,-20.176197186028666
82,-25.53202954817839
83,-25.645411583039063
84,-25.494750565010623
85,-22.284662171377576
86,-13.170536886207499
87,-14.478308474804905
88,-15.090951649370714
89,-16.94936771134319
90,-16.57950770583433
91,-16.78761725370922
92,-14.527321368416498
93,-11.042831474065917
94,-8.439094257197155
95,-8.372298442080975
96,-4.691876107657574
97,-1.0868749596696965
98,-12.297859953085595
99,-14.801900069271207
100,-14.050831272022766
101,-12.888500458988853
102,-11.455844925184133
103,-12.944272782133423
104,-11.918550026054826
105,-11.176378332825342
106,-9.682828390369416
107,-6.562176971832324
108,-6.377946996934327
109,-5.883749171316335
110,-4.625086590122937
111,-4.160894648131562
112,-3.1422017482465314
113,-2.1380878660403795
114,-3.6672345335768313
115,-2.0683756882728
116,1.099221797622537
117,1.1472524741357297
118,0.47714190225066133
119,-1.205045913473068
120,1.801290265578146
121,0.8260997806422807
122,-0.6209605485913023
123,-0.5385807028134124
124,-1.1602117286969076
125,-1.7356718784137186
126,-1.5105910034762253
127,-1.8945872422925945
128,-1.7070256550316678
129,-1.769412256287886
130,-1.5194828111446732
131,-2.741614846909016
132,-2.2090888090529557
133,-1.2191223195794585
134,-0.6325815205934333
135,-0.7247519267055083
136,0.22338994889797092
137,1.1548557771374277
138,1.327638984198451
139,1.7285672699972316
140,1.9553532778995049
141,1.7177901244894542
142,1.6356945840092116
143,1.774074168921132
144,1.7128669933019616
145,1.7919767843646
146,2.135042573945313
147,2.2443670503389015
148,2.840884945770494
149,2.8787322040788617
150,2.917680899431737
151,2.871004483817263
152,2.9991843333445587
153,3.251202355712657
154,3.39126175276877
155,3.3002659928688587
156,3.1679812736909128
157,3.1321040830384703
158,3.0102742870301533
159,3.084699913653324
160,3.1602861769879453
161,3.1150422402696982
162,3.2480357272765836
163,3.347236274762942
164,3.3696859166930935
165,3.356911600724228
166,3.335449536626637
167,3.4056027750117117
168,3.483690356254833
169,3.470034371019935
170,3.4196189853487766
171,3.2807765290264683
172,3.314486275522299
173,3.3762023534445724
174,3.440170039032928
175,3.5279640624087207
176,3.551571827941981
177,3.5565908426378776
178,3.585930370239943
179,3.628700435997146
180,3.665145669338095
181,3.6895240992853537
182,3.702927530624784
183,3.7550595260195117
184,3.7091891082345008
185,3.7430289695561925
186,3.8348949060330817
187,3.8625531639606763
188,3.9453474049418773
189,3.963670256375032
190,3.86639642722853
191,3.8464184171784694
192,3.8324452660711295
193,3.8199391039716666
194,3.8190932975039082
195,3.781923683799164
196,3.7671367301260474
197,3.674466632101101
198,3.64444854463078
199,3.663120554162912
200,3.6120936799299486
201,3.4954092780867896
202,3.4507877857486093
203,3.4327503319050052
204,3.2728731935236546
205,2.9583174333299063
206,2.616780325489337
207,2.3886703869951944
208,2.2255825556111937
209,1.9342629013717882
210,1.658587492799107
211,1.526698554180566
212,1.450399078011774
213,1.3983261010506425
214,1.313997276247676
215,1.129327310736091
216,4.040372458113321
217,3.9773264877010632
218,3.8576770672543894
219,3.8891554956920658
220,3.879789305877299
221,3.8785844252577917
222,3.8696374966982745
223,3.6342823203907884
224,3.5773687570825743
225,3.517116285870088
226,3.487725911124315
227,3.405011208618074
228,3.3978781101333198
229,3.3594969420714733
230,3.358739736364754
231,3.3023312890017813
232,3.1915290151387126
233,3.105669756541154
234,3.0337992557877094
235,2.978162689042115
236,2.8559082071416704
237,5.7881610345750545
238,5.739150900831838
239,5.732113302756321
240,5.705158608136987
241,5.690946524604531
242,5.735551321354567
243,5.822857405365433
244,5.807456605991398
245,5.805841536197256
246,5.787793804020428
247,5.769004964802825
248,5.764376224594315
249,5.74644385319689
250,5.667268997875997
251,5.690112556748161
252,5.688566507015302
253,5.662141939249047
254,5.633366321026394
255,5.615698971208666
256,5.615869496432627
257,5.601220159982475
258,5.549500214531793
259,5.540605136008935
260,5.53935063082638
261,5.546645452561034
262,5.538940396757862
263,5.5338405717657615
264,5.530597710096128
265,5.549110915346045
266,5.540613351005433
267,5.502652956539901
268,5.488888939863777
269,5.489546628297784
270,5.486013978514329
271,5.465460043933636
272,5.433373664376607
273,5.4214621905056255
274,5.418606735214109
275,5.395433748217101
276,5.389613316195916
277,5.390078520822474
278,5.389244640690059
279,5.38233753740424
280,5.377237052125455
281,5.371611008743834
282,5.368244897385928
283,5.358230768410245
284,5.358794506520326
285,5.35654527332321
286,5.352484201315793
287,5.348883758614484
288,5.351951050377309
289,5.353217376498812
290,5.352235550257177
291,5.356000263685786
292,5.354501672833155
293,5.350561100559581
294,5.349112788145227
295,5.347745533357447
296,5.349471105299962
297,5.347108379859868
298,5.3454439946211245
299,5.346410038767118
300,5.344139911233249
301,5.341657903283611
302,5.342157410030435
303,5.341192615430774
304,5.344309355275087
305,5.342910735410438
306,5.341817049274503
307,5.339945903172328
308,5.340672178800144
309,5.3364882432501695
310,5.339494043912708
311,5.335555562039666
312,5.336679350941701
313,5.334660898592485
314,5.335243207842044
315,5.337566034055811
316,5.335883260716802
317,5.3353348162980545
318,5.334112392666537
319,5.3337455559648745
320,5.335129391171812
321,5.334341968182152
322,5.3352522158786435
323,5.334423016918354
324,5.333329269994465
325,5.334725450557336
326,5.334458728679852
327,5.333319129927794
328,5.332803453984063
329,5.334530648746114
330,5.3348071172363625
331,5.333887399135143
332,5.332954942435876
333,5.334522656237748
334,5.333795164983357
335,5.333167905372978
336,5.333368063867521
337,5.333903157576994
338,5.33241652070469
339,5.334221126820058
340,5.333252821227511
341,5.334795774314628
342,5.333354142692208
343,5.333383019501298
344,5.333494992820679
345,5.333222909396998
346,5.332974942610676
347,5.332909744463485
348,5.332416394769904
349,5.333665324240272
350,5.334737029119651
351,5.333230258925308
352,5.333632136418693
353,5.336378613434807
354,5.334908199939434
355,5.332820772393891
356,5.332740925011102
357,5.33533747096083
358,5.335205625333195
359,5.333333019272992
360,5.332036568942698
361,5.332767017065397
362,5.332752806549912
363,5.333479715758081
364,5.331708473043175
365,5.332891300013376
366,5.332175313043905
367,5.333555970527659
368,5.333351214913634
