time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.864766367080709e-07,5.281934514514815e-08,10.00126819437413,6.804617434230664e-05,0.0004468737959033575,0.0,-3.9985803507895525e-05,5.025805990706585e-06,0.04227207518676832,0.0033111189863342006,0.019254595831242935,0.0,418.18167675012825,419.8551643621648,417.202372153328,417.4912949990079
0.12000000000000001,-1.6461654510208828e-05,2.8336370467862865e-06,10.005820338397857,0.0006501556844762391,0.0020966607206984733,0.0,-0.0006323616973782189,0.00012788402939119047,0.10946125255489973,0.02012692181564194,0.0402905370131879,0.0,425.9978352099414,427.79270394508654,425.11913616462357,426.5572250697254
0.18,-0.00011646313467596332,3.152262353424709e-05,10.0188867754566,0.0015715556979918333,0.003963632854539156,0.0,-0.002974613935342595,0.0009580999948917441,0.32604834923361226,0.003517620895530521,-0.0024553596554754125,0.0,473.5566423284582,470.2578798271446,473.67876738019044,472.3998810301143
0.23999999999999996,-0.0003972860894919822,0.0001326837494193288,10.046809132479927,0.002733754785048781,0.003732248105712266,0.0,-0.006361619907113796,0.002516191923568686,0.6045910935961811,0.03998903150973904,-0.006817256307727038,0.0,490.181999903503,489.85787576419756,489.5074957491157,492.21357368990766
0.3,-0.0008609612330322046,0.00035489144903408344,10.087869499223366,0.004988793257052926,0.0031800070751213383,0.0,-0.009041167216396816,0.005148839402048187,0.7639936442679629,0.032279828082273816,-0.014464991678063012,0.0,456.58185691851077,455.9715108741323,455.55460187863855,454.93846568686513
0.36000000000000004,-0.0014541054626090078,0.0007532899673669058,10.132780288761703,0.00693892197147683,0.0025140018145179965,0.0,-0.01066761462435544,0.008291791467201718,0.7330525947255285,0.032943023683727576,-0.005101072410247922,0.0,393.4457497087648,394.31172856468294,393.6554308897262,393.71733471409044
0.4200000000000001,-0.0021458615523046835,0.0014047503521523556,10.180163273046407,0.009049774604872773,0.0018744470170064531,0.0,-0.012345052383162603,0.013635813499534912,0.8463012010277823,0.039317075044547116,-0.02511259613049711,0.0,442.45068977709775,440.8003873512524,441.4263813398069,441.9525272682815
0.48000000000000015,-0.002922854778056797,0.002438953582255632,10.2360677823256,0.011243945340433825,5.188437739622742e-05,0.0,-0.013370556912849147,0.021093127211895865,1.0170435381535197,0.030415419670995456,-0.043815676555449296,0.0,459.9132242729526,458.4293358857494,460.2854287204953,459.58106566853536
0.5400000000000001,-0.0037167890343430773,0.0039501486273676965,10.30063222792385,0.013147026130566175,6.280020869248814,0.0,-0.012810960476624842,0.029473947628433306,1.1349920077760862,0.03420316199522915,-0.0950090958227783,0.0,445.09235679216545,440.8803528532897,444.1045106793084,444.4154086949829
0.6000000000000002,-0.004394168349081162,0.0060116643838471154,10.372700041519229,0.015632034081302315,6.274287577020752,0.0,-0.009158620050839355,0.03948660483990303,1.2671244738344074,0.05292106773594756,-0.0966685275182746,0.0,447.95129270812924,447.80864281680925,447.9545878459539,449.4748020001317
0.6600000000000003,-0.004715030025232503,0.00875385776793814,10.453999547903834,0.019514571628395316,6.268495089581474,0.0,-0.0008827661922410665,0.052323410749316096,1.4426398739659618,0.08147944247153306,-0.09628871351237406,0.0,461.755804677022,461.77818604620757,460.83990086170274,463.0942515592252
0.7200000000000003,-0.004361760256389067,0.012420659996717978,10.5487264752782,0.024396637040921654,6.263270006072112,0.0,0.01334810063061581,0.07051805838393328,1.7145320122016818,0.08114358657929976,-0.07314932881492911,0.0,489.57826111122404,491.29099722122976,490.5448992911406,490.5246354531159
0.7800000000000004,-0.003186552318055123,0.017108331181001114,10.651989405532106,0.02904171780039011,6.2588039669118025,0.0,0.02621970589640152,0.08616191541010806,1.7275254565515858,0.0686766356088156,-0.0771340881531087,0.0,411.8409022486163,411.4835007937218,411.8146711610017,410.71575099626295
0.8400000000000004,-0.0011865744146012814,0.022782458799550914,10.754888530345841,0.03362327509750429,6.254361912002533,0.0,0.04082546967948539,0.10334230821049113,1.702460690573533,0.08845651101173094,-0.06846428056816176,0.0,397.6408996365413,398.4292626256541,398.0149738161068,399.826223247786
0.9000000000000005,0.0017804653277794784,0.02958786887095875,10.856854870988585,0.038739363872333676,6.250221955935739,0.0,0.05843218565010665,0.12395489737441848,1.6963974571754432,0.07798176698537751,-0.07009071297695167,0.0,405.1488901860755,404.99852617598964,405.4648221244715,404.52945853715454
0.9600000000000005,0.0059312463826814875,0.037781582570936674,10.960071404372801,0.042982743450250105,6.246088385416094,0.0,0.08031781447083043,0.1495918613671896,1.7440481690367986,0.049414745157291995,-0.06659987264779807,0.0,422.70147089886564,422.998307543292,424.6749106957391,422.2214900154856
1.0200000000000005,0.01132806484203876,0.04742124816294055,11.062302552737492,0.04629219961022191,6.241923763517747,0.0,0.09988759059663047,0.17197205457980005,1.6637524529377747,0.06469380120952141,-0.07572143382039015,0.0,378.3298414586123,377.4459777948847,379.2618903379552,380.729032732833
1.0800000000000005,0.01815237283706753,0.058666456861354466,11.164174021782863,0.04966451609676081,6.23715219343536,0.0,0.12803684549241168,0.2032251549027874,1.7318207804779253,0.02804412768335112,-0.08848869221974257,0.0,430.6274818386114,429.5408241109938,431.1931499917547,428.0880695945386
1.1400000000000006,0.02677940613268707,0.07186269556092034,11.270484609162049,0.05136408578355134,6.23190831776261,0.0,0.16004748123365214,0.23680786544339558,1.8117027313946361,0.028884256764729156,-0.08530246315193221,0.0,433.5726406245676,433.83369056072,434.2362443581588,434.306947874556
